Title,Category,Start,Time Zone,All Day,Organizer,ID,X-WR-CALNAME
Market Holiday,Market Close,12/31/24,Tokyo Standard Time,Yes,TSE,TSE-20241231,TSE Market Holiday
New Year's Day,Market Close,01/01/25,Tokyo Standard Time,Yes,TSE,TSE-20250101,TSE Market Holiday
Market Holiday,Market Close,01/02/25,Tokyo Standard Time,Yes,TSE,TSE-20250102,TSE Market Holiday
Market Holiday,Market Close,01/03/25,Tokyo Standard Time,Yes,TSE,TSE-20250103,TSE Market Holiday
Coming of Age Day,Market Close,01/13/25,Tokyo Standard Time,Yes,TSE,TSE-20250113,TSE Market Holiday
National Foundation Day,Market Close,02/11/25,Tokyo Standard Time,Yes,TSE,TSE-20250211,TSE Market Holiday
Emperor's Birthday,Market Close,02/23/25,Tokyo Standard Time,Yes,TSE,TSE-20250223,TSE Market Holiday
Emperor's Birthday (Feb. 23) observed,Market Close,02/24/25,Tokyo Standard Time,Yes,TSE,TSE-20250224,TSE Market Holiday
Vernal Equinox,Market Close,03/20/25,Tokyo Standard Time,Yes,TSE,TSE-20250320,TSE Market Holiday
Showa Day,Market Close,04/29/25,Tokyo Standard Time,Yes,TSE,TSE-20250429,TSE Market Holiday
Constitution Memorial Day,Market Close,05/03/25,Tokyo Standard Time,Yes,TSE,TSE-20250503,TSE Market Holiday
Greenery Day,Market Close,05/04/25,Tokyo Standard Time,Yes,TSE,TSE-20250504,TSE Market Holiday
Children's Day,Market Close,05/05/25,Tokyo Standard Time,Yes,TSE,TSE-20250505,TSE Market Holiday
Greenery Day (May 4) observed,Market Close,05/06/25,Tokyo Standard Time,Yes,TSE,TSE-20250506,TSE Market Holiday
Marine Day,Market Close,07/21/25,Tokyo Standard Time,Yes,TSE,TSE-20250721,TSE Market Holiday
Mountain Day,Market Close,08/11/25,Tokyo Standard Time,Yes,TSE,TSE-20250811,TSE Market Holiday
Respect for the Aged Day,Market Close,09/15/25,Tokyo Standard Time,Yes,TSE,TSE-20250915,TSE Market Holiday
Autumnal Equinox,Market Close,09/23/25,Tokyo Standard Time,Yes,TSE,TSE-20250923,TSE Market Holiday
Sports Day,Market Close,10/13/25,Tokyo Standard Time,Yes,TSE,TSE-20251013,TSE Market Holiday
Culture Day,Market Close,11/03/25,Tokyo Standard Time,Yes,TSE,TSE-20251103,TSE Market Holiday
Labor Thanksgiving Day,Market Close,11/23/25,Tokyo Standard Time,Yes,TSE,TSE-20251123,TSE Market Holiday
Labor Thanksgiving Day (Nov. 23) observed,Market Close,11/24/25,Tokyo Standard Time,Yes,TSE,TSE-20251124,TSE Market Holiday
Market Holiday,Market Close,12/31/25,Tokyo Standard Time,Yes,TSE,TSE-20251231,TSE Market Holiday
